Code,Number,Location,Full Text
SW,35,Buckingham Palace,The reception at Buckingham Palace confirms no unusual incidents on the night in question. Clarendon had no known connections to the royal household.
SW,39,Otis Richmond’s Residence,Otis Richmond remains unbothered by the burglary that took place at his home. He acknowledges that others in his circle may be more emotionally affected by similar losses.
SW,48,Cornelius Oldwine’s Estate,"Cornelius Oldwine recounts an incident involving Loretta Nolan, where she recklessly threw herself into a fountain in March. He describes her as unpredictable and wild."
SW,50,Roger Baker’s Residence,"Roger Baker initially suspected his servants in the burglary of his home, but later dismissed them as culprits when he learned of similar thefts occurring elsewhere."
SW,57,St. George’s Hospital,Lady Leeds' doctor confirms her distress over the stolen tiara. She has been in fragile health ever since the incident and has been unable to speak to investigators.
SW,63,Olympia Theatre,"A professional hypnotist at the Olympia Theatre explains the principles of hypnosis. He confirms that, while hypnosis can plant suggestions, it cannot force a person to act against their moral code."
SW,87,Keene & Ashwell Pharmacy,"The pharmacist at Keene & Ashwell insists that they only carry mild sedatives. He suggests checking with Squire & Sons for stronger substances, though he seems reluctant to provide further details."
NW,29,Wilfrid Robarts’ Home,Wilfrid Robarts' neighbor provides misleading information to distract us from the investigation. He refuses to elaborate on why.
NW,32,Taylor’s Pharmacy,"A pharmacist at Taylor’s Pharmacy confirms that Dr. Trevelyan rarely visits their store, raising doubts about his involvement in prescribing medication."
NW,35,Royal Italian Circus,The ringmaster of the Royal Italian Circus recalls a tightrope walker who fell under mysterious circumstances. His injuries suggest the possibility of sabotage.
NW,42,221B Baker Street,Holmes suggests verifying Frances Nolan's version of events. He suspects that an external influence may have affected her actions on the night of Clarendon’s murder.
NW,72,Taylor’s Pharmacy,Taylor’s Pharmacy maintains a reputation for only dispensing legitimate medicines. They deny carrying or selling any restricted narcotics.
NW,95,Hyde Park,Investigators search Hyde Park for clues related to Frances Nolan’s reported blackout. No definitive evidence is found to confirm or refute her account.
WC,5,Central Carriage Stables,The carriage stable confirms that the murdered cabbie was Kenward Olick. He was last seen working near the Tower of London.
WC,13,Hiram Davenport’s Office,"Davenport, a lawyer, handled the inheritance of the Nolan sisters. He confirms that Frances received a substantial sum."
WC,17,Somerset House,Somerset House records confirm that Frances Nolan’s will names her sister as the sole beneficiary. Dr. Trevelyan is designated as her guardian in case of incapacity.
WC,22,Cox’s Bank,Bank records show irregular deposits made to Guy Clarendon’s account. The amounts suggest financial distress before his murder.
WC,29,Dr. Mason’s Office,Dr. Mason is puzzled by Frances Nolan’s blackouts. He cannot identify a medical explanation for her memory lapses.
WC,34,Gerald Locke’s Home,"Gerald Locke offers little new information, aside from his unwavering belief that Frances Nolan is innocent."
WC,37,Wilfrid Robarts’ Office,Wilfrid Robarts considers taking Frances Nolan’s defense case. He intends to meet with her before making a final decision.
WC,38,British Museum,"A numismatic expert at the British Museum confirms that Roman coins, like the ones found on the murdered cabbie, are relatively common and hold little inherent value."
WC,46,Nolan Residence,Frances Nolan’s maid recalls that Frances left the house earlier than usual on the morning of Clarendon’s murder.
WC,66,Squire & Sons Pharmacy,An employee at Squire & Sons refuses to discuss narcotics openly. He suggests visiting another location known for its lenient policies.
EC,13,Tower of London,"A cab driver who frequently worked around the Tower of London provides little useful information on Kenward Olick. He mentions that Olick had dealings with shadowy figures, but nothing specific can be confirmed."
EC,26,Aberdeen Navigation Company,"The Aberdeen Navigation Company confirms that Frances and Loretta Nolan inherited equal shares in an overseas investment. However, Loretta sold hers as soon as she came of age, while Frances retained hers."
EC,30,Ellis' Office,"Mr. Ellis, a key contact in the case, is currently out of the country on business. No estimated return date is available, making further inquiries impossible for now."
EC,35,Scotland Yard,"Detective Quintin Hogg considers the Clarendon murder case to be an open-and-shut matter. He dismisses alternative theories, stating that the evidence against Frances Nolan is conclusive."
EC,52,Raven and Rat Tavern,"Porky Shinwell, an underworld informant, provides details about Guy Clarendon's gambling debts. He suggests that Clarendon may have been desperate for money and possibly involved in illicit dealings with dangerous individuals."
EC,68,Gould & Sons Pharmacy,"Gould & Sons Pharmacy is closed indefinitely. A sign on the door directs customers to Squire & Sons, a pharmacy known for its more lenient policies regarding controlled substances."
