Location Code,Entry Number,Location,Full Text
SW,15,SW,"We leave the manager's office at Halliday's Private Hotel knowing little more than we did when we entered. He is too upset over the police quarantine of Clarendon's room to be of much help. Fortunately, the day clerk is a much less excitable fellow. ""The gentleman registered under the name of Clarence Guy on the 29th of May. He was given a front room on the third floor. Two days later he asked to be moved to Suite 205. During his stay here he had only two visitors that I am aware of. One was a most disagreeable chap. He was very large, had a thick walrus moustache and a prominent scar down his cheek. He arrived on the lst of June, the very day of Mr Guys, that is Mr Clarendon's, move. He simply came in, sat down in the lobby and waited. I kept an eye on him but, I must admit, I was reluctant to ask him his business. Twenty minutes or so later, Mr Clarendon came down from his room. As he passed, the big man yanked him aside. I'm sure I detected fear on Mr Clarendon's face and was about to send one of the boys for a bobby when Mr Clarendon signed me that all was well. After a few minutes of conversation, they left together. I never saw the man again. ""His other visitor, who came by quite frequently, was a very striking woman. She was quite fashionably dressed and she had a most distinctive laugh, very full and deep. I have no idea who she was.""ù ""Tell us about the morning of July 2nd.""ù ""It was about 9 o'clock when a woman entered. She was rather plain-looking and I would not have noticed her but for the fact that she came in the front door, looking neither left nor right, and proceeded directly to the staircase. Normally non-residents are not allowed to pass without first stopping at the desk. I was on my way to intercept the woman, when I was buttonholed by Mr Ramsay. He's a guest of long residence and a chronic complainer and he would not let me go. It couldn't have been 30 seconds later when there was a woman's scream. I dashed up the stairs to the second floor where the hallway was full of inquisitive guests. They directed my attention to Room 205 and said they heard a faint bang before the scream. There I found the body of Mr Clarendon and the aforementioned woman. She was lying in a swoon in the centre of the room with a smoking pistol in her hand. I revived her with some whiskey found in the room. When she came to, she was totally disoriented. She had no idea where she was or what she had done. When she saw Clarendon's body she gave out a small cry and let go of her pistol as if it were red hot. I took her to a nearby vacant room and had the police summoned.""ù At our request, the clerk calls a sleepy bellboy to show us the suite. On our way to the room we discover that the lad has just shifted to day duty after working nights. Enquiring further, we learn that the front doors are locked at 10 p.m., so that any guests or visitors must be let in by the night staff. Clarendon, leading a most exemplary life, was always in his rooms before 10. The constable on guard lets us into the 2-room suite and oversees our tour. The sitting room walls are papered in a subdued floral pattern. The ceiling is covered with yellow plaster. The constable indicates the entryway to the bedroom as the place where the body was found. There is some blood on the carpet. A larger stain had apparently been made by the spilled contents of a shattered wine glass lying nearby. In the centre of the sitting room, some 15 feet away are small flecks of yellow plaster. A search of the sitting room yields nothing much in the way of personal items. In the top desk drawer, however, we find a folded bank statement from Cox's: We wander into the bedroom. In the closet there are but two shirts and three pairs of shoes, one of them a pair of canvas fencing shoes dyed black. In the dresser there is the usual assortment of underwear and shirts. Loosely tossed in the top drawer is a black wool sweater and a pair of black trousers. ""Not much of a view,""ù comments Wiggins, looking out of the open bedroom window. The brick wall of the building across the alley is dreary indeed. Even the ivy vines which wind up the trellis and cover the back wall of Halliday's are dusty and cheerless. Getting into the corridor of the hotel, a maid is being lectured by a man with a scathing and nasty attitude who lets out a wave of reproaches. ""And you should know, Miss, that I will talk about it to the manager.""ù ""Such an offhandedness in a first-class establishment is totally unacceptable.""ù ""Yes, Mr Ramsay. Very well, Mr Ramsay.""ù We slip away..."
SW,19,SW,"Dr Trevelyan is an athletic looking man, and everything about him, his movements and gestures, is very precise. His eyes are piercing and vivacious, and seem to read the depths of your soul. It is ever-so-slightly disturbing. He drops himself into the chair behind his desk, fiddles with his pocket watch and asks how he can help us. ""We understand that you dined with Frances Nolan on the evening of July 1st.""ù ""Yes, that is correct. We dine every Sunday. Her sister Loretta has been under my care for some ten years, first at the Mesmer-Braid Institute and then in private practice. I meet with Miss Frances weekly to keep her informed of her sister's progress. Let me say that it is difficult to believe that Miss Frances committed this deed. She has a quiet, unassuming personality. One might describe her, albeit unkindly, as mousy. An act of such direct confrontation would not be at all in keeping with her character.""ù ""Are she and her sister close?""ù ""They lead very different and separate lives. Miss Frances lives a quiet life, while Miss Loretta s is wild and flamboyant. Frances stays at home. Loretta never misses a party. Their individual laughs illustrate their differences. Frances' is timid, no more than a titter. Loretta's laugh is deep and resounding, totally uninhibited. For her part, Miss Frances loves and cares for her sister as a parent would a child. Miss Loretta, well, she often seeks refuge with her sister and loves her as much as she is capable of love.""ù ""Thank you, Doctor.""ù"
SW,21,SW,"A man, dressed as if he had stepped from the pages of The Tales of Arabian Nights, curved scimitar and all, bars our entrance to Loretta Nola 'shome . Only when it is established that we are not tradesmen collecting for goods or services are we allowed to pass. We enter the parlour to findMiss Loretta reclining on large silk pillows clad in a costume similar to her servant, that is, a man's Arabian outfit. To add to the motif, long swatches of brightly coloured material are draped about the room on red cords. By appearances we might have entered a Pasha's tent. ""Enter and be recognised,""ù she commands, lifting her head from the hookah on which she is puffing. It must be our look of total disbelief which causes her to break out with peals of deep, unrestrained laughter. When we do not respond, except perhaps to shift from foot to foot to indicate our discomfort, her laugh abruptly dies and her mouth pauses in a pout. ""Ohhh. You do not wish to play. Very well.""ù She is suddenly on her feet and flying around the room, whisking away the cloth. Plopping down in a chair that was hidden by the material, she tells us to state our business. ""You do not seem at all upset by Mr Clarendon's death and your sister's arrest.""ù She takes a long moment to answer, staring off into nothingness. ""Guy was fun to be with... my sister, she is an innocent among the lions.""ù Before we can ask a question, she rises and calls her butler. ""I believe I will be going out this evening, Randall.""ù She sweeps out of the room, leaving us standing alone."
SW,22,SW,"Entering his laboratory, we are initially unable to locate H.R. Murray in his maze of chemical paraphernalia, file cabinets and boxes, until Wiggins notices a faint snore coming from the far corner. We walk over and find him  hunched on his desk, asleep with a pile of criminal reports and  chemistry notes as a pillow. Wiggins taps him on the shoulder; he jerks upright and his white hair and the white papers mingle in a temporary flurry around his head. ""Hello? What? Oh my where... oh, yes. It's you, Higgins! I must have dozed off. What are you up to today?""ù ""It's Wiggins, sir, and we're looking into the Clarendon murder.""ù ""Clarendon? I had just finished that report when I fell asleep. Let's see, number 301...301... "" He rummages through his pile of papers, although we wonder how a report he'd just written could be anywhere but on top. ""Ah, here it is, 301, Clarendon, Guy. Not much, I'm afraid. A hole in the shirt where a small calibre buffet passed into the body...extensive blood powder burns, indicating a close-range shot... ah, here is something interesting. On the lower part of the shirt I found traces of alcohol. Wine, to be exact. I have a good nose, and I believe it was an inferior quality Italian Red. I was in Italy in ...""ù We tip-toe off and miss his lecture on the chemical qualities of finer wines."
SW,24,SW,"Nancy Judd is an attractive widow in her mid-thirties. ""I was just starting to come out again into the world after my husband's death and now this happens.""ù She goes on to tell us that the pendant stolen from her is very old, a family heirloom. ""It belonged to my great-great-grandmother and has been passed down to me. I hoped to give it to my daughter.""ù We find out that Mrs Judd was out on the evening of the theft, and that even though she kept it in the toe of an old shoe, the burglar knew right where to look for it."
SW,25,SW,"Bessie Dearth wields her cane in mock illustration of what she will do to the thief if he ever comes within her range. She has a great deal of sauce for a woman of her years. ""My husband, God rest his soul, gave me that necklace on our 50th wedding anniversary and woe betide the blighter who took it, I say.""ù ""Ma'am, you were out on the evening it was stolen?""ù ""Yes. I attended a masked charity ball at St. Mary's for the benefit of unwed mothers. Wouldn't be surprised if the scoundrel was responsible in that direction too! ""òSociety Burglar', indeed! The fellow's of the lower classes, take my word!""ù ""Do you keep your jewels locked up?""ù ""No, I don't, but I keep them well-hidden, or I thought I did. They were in a box made to look like a copy of Dickens' Great Expectations on a bookshelf amongst other books. Hiram, my late husband, thought of that. But the thief went right to it""ù ""No thought that one of the servants might be responsible?""ù ""There's only Sybil, my housekeeper, and Sarah, my maid, and both accompanied me to the Ball.""ù We make a contribution to the Unwed Mothers Fund and take our leave."
SW,27,SW,"On the evening of the theft, Bradford Lewin and his wife were at a reception at Buckingham Palace for the new head of the China Legation. They arrived home after midnight, hungry, and rang for the butler to serve up some cold cuts. While partaking of their midnight snack, Mrs Lewin discovered that a pair of ruby earrings was missing. They noticed nothing else out-of-place ""î no sign of a search, that is ""î and none of the servants had heard anything suspicious."
SW,30,SW,"Sir Sanford Leeds expresses his hope that his wife's tiara will soon be recovered. ""It is a valuable piece, to be sure, but more than that, my wife has been under a doctor's care since its theft and just yesterday took up a room at St. George's Hospital. She is even more overwrought than when young Clarendon poured champagne down the, ahem, bodice of her Paris original at the Richmond's party on the 20th past. Which, come to think of it, was the last time she wore the tiara.""ù ""Where was the tiara kept?""ù ""In the bottom drawer of the bureau, under some of my wife's, ahem, more frilly garments.""ù ""Were there signs of extensive search, drawers left open, that sort of thing?""ù ""No, the burglar knew right where to look, it seems.""ù ""You were not at home, correct?""ù ""That's correct. My first night out since the Richmond's party. Down with the flu, what. Still not in top form but couldn't miss the old regiment's annual wing-ding.""ù ""Thank you, Sir Sanford. We wish Lady Leeds a speedy recovery.""ù ""Recover the tiara and she'll come right around!""ù"
SW,31,SW,"Sir Francis Clarendon is a severe old man deeply disappointed in his only son. ""He was a wastrel and a ne'er-do-well! Only a month or so ago, I gave him 5,000 pounds and told him it was the last he'd see of my money. I hoped the shock would bring the boy around, make him realise that he had to settle down and carve out a life for himself. Enough of this shilly-shallying! The gambling, out to all hours of the night with that wild woman, he was breaking his poor mother's heart.""ù ""Wild woman? Who do you mean?""ù ""That Nolan girl.""ù ""Frances Nolan?""ù ""No, no, that sister of hers, that Loretta.""ù ""You mentioned gambling. Do you know with whom your son gambled, or who might have wanted to kill him?""ù ""No, I'm sorry. He told us nothing. He only came around when he needed money, and since I'd told him there would be no more money, I'd hardly seen him. Just breaking his mother's heart, he was.""ù Gertrude Clarendon sits sobbing in the corner, her heart breaking indeed. ""Don't waste your tears on him, Gerty. He wasn't worth it! So saying, his own eyes begin to mist over. We quietly take our leave, and the butler follows us out the front door. ""Maybe I can help. Master Guy was a wild one, but he wasn't all bad.""ù ""Please, we'd appreciate any help.""ù ""About five weeks ago, I noticed a man hanging about, a very formidable-looking character. He had an ugly scar down the side of his face and was dressed rather carelessly, which is what attracted my attention. He just did not belong, if you know what I mean.""ù ""Did he approach the door or did you see him with young Clarendon?""ù ""Neither. He just walked up and down the street for most of the evening. I was certain, however, that he had a special interest in the house. Late that night, or rather early the next morning, for I remember hearing the hall clock chime three times, I heard a clatter in the house and came to investigate. I'm a very light sleeper and I was on my guard anyway because of the man with the scar. In any case, it was Master Guy, and he was in a terrible state. He was all battered and bruised and there was a fresh cut on his forehead. I asked him point-blank who had done it to him. He didn't answer directly, just told me that I should forget about it and not to mention it to anyone.""ù ""This may be a big help. Thanks.""ù"
SW,35,SW,"A brief discussion with the master of ceremonies at Buckingham Palace allows us to learn that the reception in honour of Mr Bailijun was a great success, and that no notable incidents came to pass to cast a pall over the evening. A bit dismayed, we catch the chance to watch the show of the guard change, always impressive with martial rigor and precision."
SW,39,SW,"Otis Richmond is a round little man possessed of boundless energy and good will. He does not seem at all put out at being victimized by the ""òSociety Burglar.' His tremendous wealth may have something to do with that. ""A mere trinket, a bauble. I replaced it for my wife the next day. Now, I do feel for some of the others, however, the sentimental value and all.""ù In answer to our questions he tells us that he was out on the evening of the theft and nothing was disturbed but the jewellery box lying right on top of the dressing table."
SW,48,SW,"Cornelius Oldwine is tall and thin, about 30 years of age and thoroughly bored with everything around him, which at the present moment happens to be us. ""Poor old Guy. He could be such fun.""ù ""Would you tell us about the incident at your country estate last March when Loretta Nolan jumped into a fountain?""ù ""It wasn't much, really. Someone, I don't recall who, dared Loretta to jump into the fountain, it being March and quite chilly. She did them one better. She dove in and swam to the centre column. Absolutely dreadful sculpture, by the way, swans and mermaids and whatnot. It rises some 10 or 15 feet high. She climbed it ""î the woman is part monkey, I do believe ""î and dove in. Then it seemed to be the thing to do, everybody took the plunge. Guy was the only one who actually climbed the fountain though. Half my guests came down with sneezes and Loretta caught pneumonia.""ù ""Her sister came to fetch her?""ù ""Is that who that woman was? I'm sure I was introduced, but I don't recall.""ù"
SW,50,SW,"Roger Baker greets us in his residence's living room. ""At first I thought it must have been one of the servants. Questioned them thoroughly, believe me. After all, there was no sign of a search and nothing else was disturbed. It really wasn't until Hardinge and Richmond were robbed and the papers referred to us as the victims of the ""òSociety Burglar' that I was certain it wasn't... You wouldn't, by any chance be able to recommend a good housekeeper and valet, would you?""ù"
SW,57,SW,"Lady Leeds' doctor tells us that his patient isn't in a state where she can speak to us. She is apparently very affected by the theft of her tiara, and needs to rest."
SW,63,SW,"The air at the Olympia could be qualified as electric. The director, Mr Casey, a small round man in a striped costume, can't stop waxing eloquent about Milo de Meyer. ""His show is truly remarkable. He manages to submit to his will the most sceptical of spectators.""ù We follow him through a maze of hallways where all the theatre's staff seem to have congregated, almost getting knocked over by an oriental column being carried by two stagehands. Arriving in front of Milo's loge, he knocks on the door and doesn't wait for an answer before going in. ""Mr de Meyer, you have visitors.""ù When we enter, Milo de Meyer seems to be meditating on the floor. His legs are crossed in the lotus position, his eyes closed, his index finger and thumb on each hand forming a circle, he chants a soft melody. ""Ah, he's in a trance. Sorry, sirs, but when he's in that state, it's almost impossible to wake him. I'd suggest you wait, but he can remain like that for hours...""ù As we hesitate to wait like this until he awakens, Milo de Meyer opens his eyes wide. ""Good day sirs. My astral body just happened to be floating over Mr Casey when you approached him, and I've interrupted my meditative voyage to reembody myself. So, you're looking for information about hypnosis. Let me tell you, good sirs, that it's a very precise practice, which isn't linked to any science, but which nonetheless remains governed by precise rules.""ù Before we can even begin to ask questions, Milo de Meyer starts a very instructive speech about hypnosis. ""First off, hypnosis can be used on anyone. But a subject who is psychically weakened will of course be easier to manipulate. The first step consists of focusing the attention of the subject on a specific element, fixed and regular: it could be the flame of a candle, or the motion of a pendulum. Once the subject is hypnotised, you can make them do many things, but never something that their moral values reject or that their physical capabilities do not allow them. The subject would faint when faced with the contradiction between what you ask of them and what their subconscious imposes on them. In all cases, the subject will not remember what they might have done in their hypnotised state. Although I don't need to use such things in my shows, there are certain drugs which may help a subject to enter a state of hypnosis. These are mainly light sedatives, available with a prescription. There, I think I've given you the rough outline about the art of hypnosis. Since you have no further questions, I'll ask if you could kindly let me return to my meditation, as I have not yet finished my preparation for tonight's show.""ù We leave the hypnotist to his astral voyage and exit the theatre."
SW,87,SW,"Outwardly, the Keene & Ashwell pharmacy looks rather modest. A narrow door in a dirty coloured wall, between two imposing buildings. But once the doorway is crossed, the establishment is of an exemplary cleanliness and is bigger than it looked on the outside. We wait in line, behind an old man hunched over his cane rubbing his own back, and an extremely pale young man. The young man is struck with a violent coughing fit as he presents his prescription to the pharmacist. After the old man gets his mustard poultice, we can finally ask our questions. ""Many of our customers ask for all sorts of products. We're only authorized to administer light narcotics and sleeping aids, not strong drugs. You should try to discreetly inquire at Squire & Sons, I've heard it said that they are much less strict about the laws regarding those.""ù We leave the establishment at the moment when a man with a strong limp enters. We hold the door for him, for which he is most grateful."
NW,1,NW,The housekeeper informs us that Mr Davenport is at his office.
NW,12,NW,"At Dr Mason's home we meet a rather garrulous landlady who seems to think that we are also of the medical profession. She begins a nonstop monologue about her bad back and how it pains her in the summertime. 'Course it also pains her in the autumn, winter, and spring. It takes no little time before we find out that Dr Mason is not at home but at his office."
NW,18,NW,"Sam Parsons, at Parsons & Son Toy Shoppe shows us a miniature hansom without a driver and says, ""It came from ""òyou know who'.""ù"
NW,29,NW,"The trip to Wilfrid Robarts' home is not a total loss, for Wiggins anyway. Although Robarts is not home, the next-door neighbour, a lovely young lady, is. We tell Wiggins we will meet him at Trafalgar Square while he stays to make her acquaintance."
NW,32,NW,"""Dr Trevelyan, you say? I know him, but he pretty much never visits our establishment. With his clients, he probably goes to the pharmacies of the nicer neighbourhoods instead, like at that cad Taylor's store.""ù"
NW,35,NW,"At the Royal Italian Circus we spy Constable Shook scratching his head, pondering his notebook. When he sees us, his face brightens. ""So Mr 'Olmes is interested in the case, is 'e?""ù Without our reply, Shook launches into an explanation of the facts of the case, becoming, before very long, hopelessly entangled. ""'Ere now,""ù he stops himself, ""let's take you around to the various suspects and let's see what we see.""ù So saying, he starts off toward a rotund man, telling us that he is the ringmaster, Gregory Shepard. ""'E ain't a suspect, as such, but 'e seen it all 'appen.""ù At the Constable's behest, Shepard explains the ""accident.""ù ""It is all inconceivable! Klaus Wallinden was the best in the world on the tightrope. But last week, he was hesitant, tentative, his footing unsure. He went back to the rosin box several times. Then just as he was walking out for his finale ""î he balances a chair on two legs on the wire and performs a handstand on it ""î he slipped. The chair was in his hands and because of it he missed the wire. Everything should have been fine because of the net, but it gave way as soon as the chair and Klaus hit it.""ù ""Thank you, Mr Shepard,""ù says Constable Shook. When we are out of earshot, he adds, ""The net didn't just ""ògive way,' as Shepard says. It was rigged with a very tricky knot made to come loose when any weight 'it it. Now let's go talk to Guzzoni. 'E and Wallinden 'ad a row two days before.""ù We are not alarmed when we come upon Luigi Guzzoni throwing knives at his shapely wife, for that is his occupation with the circus. We do become slightly alarmed, however, by the look in his eyes when we mention Klaus Wallinden's name. ""I hated the man, I tell you. He's a snake! I didn't kill him but I wish I had!""ù As we hurry away, Shook explains that Guzzoni had accused Wallinden of showing too much attention to his wife, Seraphina. Considering the look of sadness in Seraphina's eyes it may have been true, although Wallinden, we are told, denied it. Another who seems to have believed the accusation is Wallinden's fianc√©e, Carmen Albuera. We meet her as she rehearses with her horse troupe. The four horses, abreast of each other, trot around the perimeter of a ring while Carmen, standing in the centre, controls them with a single lead attached to all four bridles. With a quick flip of the wrist, the lead detaches itself and the four horses split off into four directions, ending in front of her, rearing. ""There is no sadness in my heart. He treated me badly with that pig, that cow, that, that Puta!""ù She refuses to say anything more, in English anyway, and we proceed on. We come across Hercule LeMouche, a trapeze artist. He is arguing with the boss roustabout over some fine point of rigging. Despite LeMouche's insistence of his expertise in rigging, the roustabout goes away unconvinced. Before we speak to him, Shook informs us that LeMouche, who had just joined the troupe, had an argument with Wallinden over billing, each disparaging the other's talents and resorting to a vile name-calling match. ""He was second rate. A poseur. Yet, I must stand behind him, sacrebleu!""ù Shook tells us, as we walk away, that all three, Guzzoni, Albuera, and LeMouche were seen watching Wallinden that fateful night. ""Expecting something, do you think?""ù ""What's that singing?""ù we ask as the sound of a drunken melody reaches us. The words are slurred and it is difficult to tell if the song is happy or sad, so often does the tempo shift. As we get closer to it, however, it is easy to tell that it is in German. ""Ah, that would be Albrecht 'Ube. A sad case, so I'm told. 'E used to be even greater than Wallinden, invented the chair balancing thing that Wallinden used in 'is act, but used to do it with just one leg on the wire. Somewhere along the line 'e began to 'it the bottle and you can't walk no wire all ginned up like. A few months back, Wallinden hired 'im as a go-'nfetch- it, sort of. Did odd jobs and the like. Totally off the sauce, 'e was, 'til the other night.""ù As we peek into the dressing room, we see Hube, very unsteady on his feet, standing over a tub, washing what appears to be Wallinden's costumes. With one hand he pours in more soap flakes while with the other he hoists a bottle of whiskey to his mouth. Setting the bottle down on a nearby table, he again commences to sing. Constable Shook goes back over the case once again in complete detail. When he is finished, he looks to us for our opinion. ""Constable,""ù says Wiggins, ""I think there is an arrest to be made.""ù"
NW,38,NW,"Despite the strong Asian accent of the person who speaks to us, we manage to understand that Mr Bailijun is in a reunion for the day and that it will be impossible for us to meet him today."
NW,42,NW,"Nothing seems to be able to pull Holmes out of the melancholic mood in which he was when we left. ""I've much to do before nightfall, Wiggins. I won't be able to spare you much time. The first thing to do is verify Miss Frances Nolan's version of the facts. Mr Locke's attitude clearly involves jealousy towards Clarendon. If Miss Nolan is in love with Clarendon, it seems completely absurd for her to kill him. If she didn't pull the trigger, then who did? An examination of the crime scene could surely give you clues. Don't hesitate to make a sketch of the scene, it often helps in thinking.""ù ""And of course there's the question of the motive. Who would want to eliminate Clarendon and Frances at the same time? As it's of course the death sentence that awaits Miss Nolan for her so-called crime. It's all I can give you for leads at the moment, gentlemen. Now, I'll have to let you go, as urgent business awaits me.""ù"
NW,72,NW,"The name John Taylor is written in large golden letters on the pharmacy's windows. The interior of the store is as clean as the exterior. John Taylor, busy in the middle of a pile of papers in his office at the back of the pharmacy, quickly answers our questions. ""Sorry sirs, our clientele doesn't have access to the use of psychotropes and other powerful narcotics, at most some light sedatives. My pharmacy has the best reputation of all of London. Not like those charlatans at Leath & Ross; if you want my opinion, with their clientele, they're probably specialised in drugs of all kinds instead of medicine.""ù"
NW,95,NW,"We enter Hyde Park through its north entrance, near Tyburn's tree. On this beautiful July day, the little tree-lined paths are travelled by a varied crowd of hurried men or mothers walking with their children. We drifted through the park looking for clues as to where Miss Frances could have woken up, and our feet lead us to the side of the lake, around which we go. Without more clarification, it's impossible to find the bench she spoke of."
WC,4,WC,"Dr Trevelyan's manservant greets us at the door bedecked in apron and carrying a broom. As he tells us that Dr Trevelyan is at his office, a street cat attempts to dodge into the house. With a swipe of the broom worthy of a professional cricketer, he sends the cat flying back into the street and meowing away."
WC,5,WC,"At the Central Carriage Stables we enquire after the cabbie found stabbed to death a few nights before. ""I never seen the like,""ù says an old duffer, shaking his head. ""Kenny was a right 'nough fellow. But kept pretty much to 'isself, 'e did.""ù ""What was his name?""ù ""Kenward Olick.""ù ""What area did he work?""ù ""Oh, down around the Tower, mostly. George Street, down in there.""ù"
